vid,pid,softwareVersion,certificationType,softwareVersionString,cDVersionNumber,softwareVersionCertificationStatus,date,reason,owner,history,cDCertificateId,certificationRoute,programType,programTypeVersion,compliantPlatformUsed,compliantPlatformVersion,transport,familyId,supportedClusters,OSVersion,parentChild,certificationIdOfSoftwareComponent,schemaVersion
4107,2,65536,matter,1.0.0,1,2,2022-11-02T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22079MAT40079-00,,,,,,,,,,,,0
4107,2,65792,matter,1.1.0,1,2,2023-12-13T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA23K57MAT42558-00,,,,,,,,,,,,0
4107,2,66304,matter,1.3.0,1,2,2024-10-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA246A7MAT44378-00,,,,,,,,,,,,0
4107,8192,0,matter,v1.0,1,2,2022-12-28T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22403MAT40403-24,,,,,,,,,,,,0
4107,8193,0,matter,v1.0,1,2,2022-12-30T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22476MAT40476-24,,,,,,,,,,,,0
4107,8194,0,matter,v1.0,1,2,2022-12-23T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22375MAT40375-24,,,,,,,,,,,,0
4107,8195,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22322MAT40322-24,,,,,,,,,,,,0
4107,8196,0,matter,v1.0,1,2,2022-12-21T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22277MAT40277-24,,,,,,,,,,,,0
4107,8197,0,matter,v1.0,1,2,2023-08-14T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA23B43MAT41654-24,,,,,,,,,,,,0
4107,8198,0,matter,v1.0,1,2,2023-01-05T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA23077MAT40590-24,,,,,,,,,,,,0
4107,8199,0,matter,v1.0,1,2,2023-01-13T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA23101MAT40614-24,,,,,,,,,,,,0
4107,8200,0,matter,v1.0,1,2,2023-01-19T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA23118MAT40631-24,,,,,,,,,,,,0
4107,8201,0,matter,v1.0,1,2,2022-12-14T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22166MAT40166-24,,,,,,,,,,,,0
4107,8202,0,matter,v1.0,1,2,2023-01-04T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA23002MAT40515-24,,,,,,,,,,,,0
4107,8203,0,matter,v1.0,1,2,2022-12-20T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22240MAT40240-24,,,,,,,,,,,,0
4107,8204,0,matter,v1.0,1,2,2023-01-04T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA23063MAT40576-24,,,,,,,,,,,,0
4107,8205,0,matter,v1.0,1,2,2022-12-15T00:00:00.000Z,,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22181MAT40181-24,,,,,,,,,,,,0
4107,8206,0,matter,v1.0,1,2,2022-12-19T00:00:00.000Z,Completed certification process,cosmos1mwzp8lqmsw2fxq8w9y583xe8h5l6kxq52tl649,[],CSA22210MAT40210-24,,,,,,,,,,,,0
