vendorID,vendorName,companyLegalName,companyPreferredName,vendorLandingPageURL,creator,schemaVersion
1,Panasonic,Panasonic Holdings Corporation,Panasonic,https://holdings.panasonic/global/,cosmos17vw6zxk333zu35epz5kd452xwg83y8spmps7mk,0
4107,Signify,Signify Netherlands B.V.,Signify,https://www.signify.com/,cosmos1xx8fg5nu4lesn448ytds8yjql47jp8gnfh6hck,0
4125,Fortune Brands,Fortune Brands Innovation Inc,,https://www.fbin.com/,cosmos1yj6xu6h3rnkllmzr295v8x5decdtmcuqzx33ur,0
4129,Legrand Group,Legrand,,https://www.legrand.com,cosmos1elm6sf9yd2n7y0l0rve4zru0ukanv76vtrjnt3,0
4142,LG Electronics,"LG Electronics, Inc.",,,cosmos15vt3q6sy2urxe8xfff8yyt6sfj6f776qesqfxe,0
4151,NXP Semiconductors,NXP Semiconductors N.V.,,https://www.nxp.com,cosmos1ck0arz4kky9l9qtdvqrct7783ffv2yftgmj9ch,0
4161,STMicroelectronics,STMicroelectronics,,,cosmos1vmkxse0usk0q277ym695cj395e0z25xptgv3wr,0
4169,Silicon Labs,Silicon Laboratories Inc NASDAQ: SLAB,Silicon Labs,https://www.silabs.com/,cosmos1js3g08nc2ahl5j497e6m9nnash5k9hajlzzxcp,0
4190,Schneider Electric,Schneider Electric,Schneider Electric,,cosmos14kre58wpgterp7t9yy0393ecel9hpz9fnul6pc,0
4216,ntve home,Computime International Limited,,,cosmos1f8fv2wl30fz75x07kep73rrud3nl92vetpa6up,0
4240,Green Energy Options,Green Energy Options Ltd,geo,https://www.geotogether.com/,cosmos1vvy62f5sa3wqya2e2u6gyuan8ak4v4zfsgku8s,0
4251,Leviton,Leviton Manufacturing Company,,https://www.leviton.com,cosmos1ypyp8zrqeu64rjmx3u34ghvl64uajr67uams3d,0
4304,Qorvo,"Qorvo, Inc.",,https://www.qorvo.com/,cosmos1qrpkuzgm7hfejejfyg20g34tjxlt4k8dsspq52,0
4334,UEI,Universal Electronics Inc,,https://www.uei.com/,cosmos1pvrad6x6ettwgudttqd97r9wvarvnj5davpltg,0
4338,ubisys,ubisys technologies GmbH,,https://www.ubisys.de,cosmos1rxydw26p5k4f9rtwln6r3srvw4qq9pxnxadr3d,0
4362,Samsung SmartThings,Samsung SmartThings,,,cosmos1e292xaqdy8qgfufycjv2tkup5eegyyvwgfrvkf,0
4381,Comcast Communications,Comcast,,,cosmos1yvskwa9g4t7y9akwdrnlafd02pu26rf83aaejk,0
4388,Jasco Products Company LLC,Jasco Products Company LLC,,,cosmos1plq44ld0knhhffhyq8rqw7l73jr05229mj7828,0
4405,dresden elektronik,dresden elektronik ingenieurtechnik gmbh,dresden elektronik,https://www.dresden-elektronik.de,cosmos1kvflawlceuu2m4t8dygayqld052289n0dxh694,0
4442,Nanoleaf,Nanoleaf Ltd.,,https://nanoleaf.me,cosmos1sggrrmw05e6alve8umwdaszade5qxyt53kthud,0
4447,Aqara,"Lumi United Technology Co., Ltd.",,https://www.aqara.com/,cosmos1qpz3ghnqj6my7gzegkftzav9hpxymkx6zdk73v,0
4448,Sengled,"Sengled Co., Ltd.",,,cosmos1arhkv0n34xylxz9suy73dpyk6de32gpym9l3sw,0
4454,Innr,Innr Lighting B.V.,Innr,https://www.innr.com,cosmos1yfesa8ned026v5qjpvxqgszduuqf2p8urlcwdr,0
4456,Leedarson,Leedarson IoT Technology Inc.,,,cosmos1mzg0v94yg0cmkjqe2jqsys44tvvfk9mt2d889d,0
4469,D-Link,D-Link Corporation,,,cosmos1kykyym3l8lj60e0q7kuhxhac4dvlcy4x04ghvw,0
4474,Insta GmbH,Insta GmbH,Insta GmbH,https://www.insta.de,cosmos1u7hcs8my7ylct2u5wzsj769ddgvjn80g5znpns,0
4476,IKEA of Sweden,IKEA of Sweden AB,IKEA of Sweden,https://www.ikea.com/,cosmos1l9r6wfrxk5z8qg3u8tjumm5949sk0eae5d2e2q,0
4478,Feibit,"Shenzhen Feibit Electronic Technology Co.,Ltd",Feibit,http://www.feibit.com,cosmos162y3ehrqpuu2xjvmgq6qq7yqtdh6mlwh32wv2h,0
4488,TP-Link,TP-Link Systems Inc.,TP-Link Systems Inc.,https://www.tp-link.com,cosmos1jxpj6rr8vnetz9a2ec08az5fwqpuf4zt4hhygv,0
4489,LEDVANCE,Ledvance GmbH,,,cosmos14f7agdec0hxlkvtr2q2f3wa0ggxehy4qej99fs,0
4492,Midea Group,Midea Group,Midea,,cosmos1a7c8us8jl76f8uue6xf9gzzqklfmfdyh8nedae,0
4501,CommScope,CommScope,CommScope,https://www.pki-center.com/,cosmos1ffrg2cwnlv9ar3jg9tva4qawv4wdmyw50pdn66,0
4617,Bosch,Robert Bosch GmbH,Bosch,https://www.bosch.com,cosmos1lugc5ushxpnwkmgd6xjstqw9d52hccn4t36rvf,0
4619,HEIMAN,"Shenzhen Heiman Technology Co., Ltd.",,,cosmos16s4lqhxyqdr5lq6gmfpskjtwjf7dwc0lktn6dt,0
4631,Amazon Alexa,"Amazon.com, Inc.",Amazon Alexa,https://www.amazon.com,cosmos152v4ejapsjl222zew0ll4eeltc0h2phh5hzpu3,0
4633,ORVIBO,"Shenzhen ORVIBO Technology Co.,  Ltd.",,https://www.orvibo.com,cosmos1u7um30yf68zugm897tgpq7s6vhkhk4t2ykm0hq,0
4644,Sunricher,Shenzhen Sunricher Technology Ltd.,,,cosmos1eq7jwgdfcjafjlj5eq607p7j50yyl9dyw6fzw5,0
4662,Allegion,Schlage Lock Company LLC,,,cosmos15j2r7rqqu3n4995lql6h59h4tnvcu0gehyjqrm,0
4701,Tuya,Tuya Global Inc.,,,cosmos13pwvzq2zk0r3fxuc2a5jhadnx6tda5ar2tcpp9,0
4711,"ARC Technology Co., Ltd. ","ARC Technology Co., Ltd. ","ARC Technology Co., Ltd. ",,cosmos1t2k393g79rjp5ug9w6rdjvplk8wkcl8je0pfh5,0
4718,Xiaomi,"Xiaomi Communications Co., Ltd.",,https://iot.mi.com,cosmos1vl4gd4ptkngnnyggklj9wn4a5f6qkqwpmhjm0c,0
